Token,Item Name,Variation Name,Reporting Category,Description,SKU,Price
,Cherry Cheesecake Gourmet,Regular,Shakes & Smoothies,24g protein topped with whipped topping and gram cracker and cherry,,9.68
,Cherry Mango Pineapple,Regular,Shakes & Smoothies,Gourmet 24g protein topped with whipped cream and granola,,9.68
,Peanut Butter Crunch 32oz,Regular,Shakes & Smoothies,24g 32oz Banana smoothie with peanut butter on cup with granola on top,,9.68
,Extra Aloe -,Regular,Toppings & Add-Ons,"0 calories, 0 g sugar, soothes the stomach, supports healthy digestion, relieves occasional indigestion, supports nutrient absorption & intestinal health",,1.50
,Single Aloe Mango Pack,Regular,Aloe,pack,,3.00
,Single Aloe Mandarin Pack,Regular,Aloe,pack,,3.00
,Single Aloe Cranberry Pack,Regular,Aloe,pack,,3.00
,Concentrate Single-Serve Packets: Mango,Regular,Aloe,Concentrate Single-Serve Packets: Mango,,3.00
,Protein puppy chow,Regular,Bars & Snacks,,,3.50
,Peanut butter Protein Balls,Regular,Bars & Snacks,"178 cal, 10.6g Fat, 12.9g carb, 6.9g protein",,3.75
,Cookies 🍪,Regular,Bars & Snacks,"178 cal, 10.6g Fat, 12.9g carb, 11g protein",,3.50
,CakePop,Regular,Bars & Snacks,Protein Cake Balls 56 calories 6g protein 5.4g carbs,,3.25
,Banana Pumkin muffins,Regular,Bars & Snacks,,,2.00
,Brownie Balls,Regular,Bars & Snacks,,,3.75
,Protein bits,Regular,Bars & Snacks,4g protein,,2.25
,Brownie 20g -Protein Bar,Regular,Bars & Snacks,20g Protein,,5.50
,Cookies n Cream 20g -Protein Bar 1,Regular,Bars & Snacks,20g Protein,,5.50
,Lemon Bar -10g protein,Regular,Bars & Snacks,10g Protein,,3.00
,Almond Bar -10g protein,Regular,Bars & Snacks,10g Protein,,3.00
,Cookies & Cream Meal Bar,Regular,Bars & Snacks,Nutrient Dense Bar for Good Nutrition & Weight Management,,5.50
,Chips,Regular,Bars & Snacks,8g protein,,4.50
,Chips 3 for $12,Regular,Bars & Snacks,8g protein,,4.50
,Blackberry Liftoff,Regular,Boosters & Shots,A fruity liftoff flavor for energy and vitamins,,3.00
,Lemon Lime Liftoff,Regular,Boosters & Shots,"Boost Energy & Focus -vitamins B12 , B6 and C",,3.00
,Liftoff Pineapple,Regular,Boosters & Shots,,,3.00
,Pomegranate Liftoff,Regular,Boosters & Shots,"Boost Energy & Focus -vitamins B12 , B6 and C",,3.00
,Orange Liftoff,Regular,Boosters & Shots,"Boost Energy & Focus -vitamins B12 , B6 and C",,3.00
,H3O packet,Regular,Boosters & Shots,"Hydration, electrolytes",,3.50
,Lemon Individual tea,Regular,Boosters & Shots,1 serving of tea 0 calories,,1.85
,Raspberry Individual tea,Regular,Boosters & Shots,0 calories,,1.85
,Banana Coffee March,Regular,Protein Coffee,,,9.68
,Small Mocha Protein Coffee,Regular,Protein Coffee,"15 g protein per serving, 100 calories per serving, 2 g sugar per serving, 80 mg caffeine per serving",,5.50
,House Protein Ice Coffee,Regular,Protein Coffee,15g coffee with protein,,5.50
,Small Iced Caramel Macchiato Coffee,Regular,Protein Coffee,coffee with 15g protein 20oz,,5.50
,Large House Coffee,Regular,Protein Coffee,"20 g protein per serving, 150 calories per serving, 3 g sugar per serving, 120 mg caffeine per serving topped whip cream 32oz",,9.68
,Large Caramel Macchiato Coffee,Regular,Protein Coffee,"20 g protein per serving, 150 calories per serving, 3 g sugar per serving, 120 mg caffeine per serving topped whip cream 32oz topped whip cream 32oz",,9.68
,Large Mocha Protein Ice Coffee,Regular,Protein Coffee,"20 g protein per serving, 150 calories per serving, 3 g sugar per serving, 120 mg caffeine per serving topped whip cream 32oz",,9.68
,Cola - Ginger 6pack kit,Regular,Kits & Programs,Tea kits with ginger LO and Cola L/o,,0.00
,Christmas Tea Kit,Regular,Kits & Programs,12 days of christmas,,100.00
,Aloe / Hibiscus NRG Kicker,Regular,Boosters & Shots,"Hibiscus TEA, Aloe, lift off, flavor Enhancer",,8.50
,Protein Jello,Regular,Bars & Snacks,Calories: 67. Protein: 8.6 Fat: 0g,,3.75
,Collagen pack,Regular,Boosters & Shots,Collagen to-go,,3.25
,Green kicker,Regular,Boosters & Shots,"Green Vegan, Apple flavor, NRG",,8.50
,NRG Tea Passionfruit pack,Regular,Boosters & Shots,,,1.85
,Hydration/ Protein Bottle 8oz,Regular,Boosters & Shots,"Hydration + Protein 15g protein, Vitamin C, E and A, Electrolytes for rapid hydration",,5.25
,Intense Defense- Bottleoz,Regular,Boosters & Shots,"zinc & Vitamin D, Echinacea, 1,000 mg of Vitamin C",,4.75
,Valentine Box,Regular,Kits & Programs,Best Defense with tea,,40.00
,Best Defense Ginger,Regular,Boosters & Shots,"Immune Booster 1000mg Vitamin C, Zinc, Echinacea Drink",,2.75
,Best Defense Watermelon,Regular,Boosters & Shots,"Immune Booster 1000mg Vitamin C, Zinc, Echinacea Drink",,2.75
,Greens packet,Regular,Boosters & Shots,,,4.50
,Ginger Tea Packet,Regular,Boosters & Shots,one serving of Ginger tea,,1.85
,Berry Immune -bottle 8oz,Regular,Boosters & Shots,"Elderberry, Vitamin D, Zinc, reishi mushrooms",,4.75
,Watermelon Intense Defense- Bottle 8oz,Regular,Boosters & Shots,"zinc & Vitamin D, Echinacea, 1,000 mg of Vitamin C",,4.75
,Green Shot -Bottle 8oz,Regular,Boosters & Shots,Green Superfood include ashwagandha and probiotic,,4.75
,Delivery $1 when MULTIPLE Teachers order,Regular,Fees & Supplies,Delivery,,1.00
,Aloe Kicker,Regular,Boosters & Shots,"TEA, Aloe, lift off, flavor Enhancer",,8.50
,Collagen Kicker,Regular,Boosters & Shots,"Lemon tea plus orange lift off, Collagen",,8.50
,Bottle 32oz,Regular,Fees & Supplies,Refrigerator bottle,,0.97
,Delivery $3,Regular,Fees & Supplies,Delivery fee,,3.00
,Mega tea S,Regular,Boosters & Shots,"Lemon tea, stick orange lift off, collagen",,8.00
,Granola,Regular,Bars & Snacks,toppings,,1.00
,Gourmet 32oz,Regular,Fees & Supplies,upsize your shake from a 24 oz cup to a 32 oz,,2.31
,Donut Shot Fat Blaster,Regular,Bars & Snacks,Hunger Control and Fat Burner,,6.00
,Collagen Beauty Booster,Regular,Bars & Snacks,"Supports strong nails and healthy hair with selenium, zinc and biotin. Vitamin A, C, E.",,3.50
,Apple Fiber,Regular,Boosters & Shots,Boost 5g extra fiber,,2.25
,Probiotic,Regular,Boosters & Shots,Balance Digestion,,2.00
,Extra Protein,Regular,Toppings & Add-Ons,Boost extra 7.5g protein,,2.00
,Tropical Fiber,Regular,Boosters & Shots,Boost 5g extra fiber,,2.25
,Total Control Packet,Regular,Boosters & Shots,,,3.50
,H3O,Regular,Boosters & Shots,"provides rapid hydration, immediate energy and Vitamins C and E antioxidant support",,2.50
,Gift Card $5 value,Regular,Gift Cards,"Starts at $5, click multiple times for more",,5.00
,Gift Card $10 value,Regular,Gift Cards,"Starts at $10, click multiple times for more",,10.00
,Fat Release Pack,Regular,Boosters & Shots,"Reduces a portion of fat calories from being absorbed when taken with a meal containing fats* Enhances the amount of dietary fat eliminated from the body* Formulated with Litramine® to promote a feeling of fullness* Not formulated with caffeine, stimulants, synthetic metabolic enhancers or fat-blocking chemicals that alter the healthy body's normal metabolism Convenient, single-serve portions",,3.00
,Best Defense Orange,Regular,Boosters & Shots,"Immune Booster 1000mg Vitamin C, Zinc, Echinacea Drink",,2.75
,Club 3 Day Challenge,Regular,Kits & Programs,,,35.24
,Immunity Tea-,Regular,Boosters & Shots,"Help strengthen your immune system by balancing your immune response with EpiCor ® and Vitamin D* EpiCor®, acts like a multivitamin for your immune system, zinc, vitamin C, & D",,2.50
,BCAA,Regular,Boosters & Shots,,,3.00
,Muffin,Regular,Bars & Snacks,70 calories 6 gram protein,,3.00
,Pre Workout Tropical,Regular,Boosters & Shots,Pre-workout,,5.00
,Protein Peach Bev Mix 1 scoop,Regular,Bars & Snacks,"7.5g protein snack, 0g Sugar",,2.75
,Cookies and Cream Shake Packet -17g,Regular,Bars & Snacks,Full Healthy Meal to go,,7.00
,Protein Wild Berry Bev Mix 1 scoop,Regular,Bars & Snacks,"7.5g protein snack, 0g Sugar",,2.75
,Enhance Protein,Regular,Bars & Snacks,"24g protein, whey protein,",,7.50
,Pre Workout Watermelon,Regular,Boosters & Shots,Pre-workout,,5.00
,Niteworks Boost Lemon,Regular,Boosters & Shots,NOBEL PRIZE WINNING NITRIC OXIDE FORMULA,,3.50
,Niteworks Boost Mango,Regular,Boosters & Shots,NOBEL PRIZE WINNING NITRIC OXIDE FORMULA,,3.50
,No Ice,Regular,Toppings & Add-Ons,,,0.00
,Sprinkles,Regular,Toppings & Add-Ons,,,0.00
,Whipped Cream,Regular,Toppings & Add-Ons,toppings,,1.25
,Cinnamon,Regular,Toppings & Add-Ons,toppings,,1.25
,Oatmeal,Regular,Toppings & Add-Ons,,,1.25
,CR7 scoop,Regular,Boosters & Shots,Hydration- electrolytes,,2.50
,Banana Slices,Regular,Toppings & Add-Ons,toppings,,1.25
,Strawberry Slices,Regular,Toppings & Add-Ons,toppings,,1.25
,Pecan Toppings,Regular,Toppings & Add-Ons,toppings,,1.25
,Chocolate Chips,Regular,Toppings & Add-Ons,toppings,,1.25
,Cucumber Slices,Regular,Toppings & Add-Ons,toppings,,1.25
,Rebuild Add Single Scoop,Regular,Toppings & Add-Ons,Chocolate rebuild add on for shakes,,3.25
,Add Peanut Cookie Protein,Regular,Toppings & Add-Ons,"protein base for custom shakes, peanut butter flavored",,2.00
,Mini Donuts 6 count,Regular,Bars & Snacks,144 calories 9g protein 21g carb 3.6g fat *** no toppings,,4.00
,Protein powder funnel,Regular,Fees & Supplies,Carry around your proteins to mix in drinks and snacks on the go,,2.00
,CR7 to go Pack,Regular,Boosters & Shots,"Hydration 320mg electrolytes, potassium 125mg, magnesium 60mg, B12",,3.50
,NRG Individual Tea,Regular,Boosters & Shots,add on,,1.85
,Peach Individual tea,Regular,Boosters & Shots,To-go Peach tea,,1.85
,Orange Push pop Kicker,Regular,Boosters & Shots,"B6 & B12, Hydration",,8.50
,NRG Kicker,Regular,Boosters & Shots,"Lemon tea plus orange lift off, NRG",,8.50
,Greens Booster,Regular,Boosters & Shots,,,4.00
,Plant-base Digestive support,Regular,Boosters & Shots,3g fiber plus probiotics,,2.00
,Fit Kits,Regular,Kits & Programs,"Rebuild (post workout shake), CR7 (hydration & recovery) & Liftoff (pre workout)",,15.00
,Survival kit,Regular,Kits & Programs,"orange lift off stick, total control, fat release",,10.00
,Boba,Regular,Toppings & Add-Ons,Popping Pearls,,1.00
,Promo collagen,Regular,Boosters & Shots,,,2.00
,Creatine,Regular,Boosters & Shots,Flavorless 5g Creatine (add to any drink),,1.75
,"Aloe Concentrate Single-Serve Packets: Cranberry, Mandarin, Mango",Regular,Boosters & Shots,single serving pack,,3.00
,Herbal Aloe Concentrate Single-Serve Packets: Mango,Regular,Boosters & Shots,Herbal Aloe Concentrate Single-Serve Packets: Mango,,3.00
,Fat reducer cookie,Regular,Bars & Snacks,8hr Hunger Control and Fat Burner,,6.00
,Prolessa Fat Reducer,Regular,Boosters & Shots,Hunger Control and Fat Burner,,6.00
,Cherry bomb kicker,Regular,Boosters & Shots,"CR7 pack, BlackBerry Spark, fruit punch",,8.50
